Civilian noninstitutional population,Civilian labor force,Participation rate,Employed,Employment-population ratio,Unemployed,Unemployment rate,Sex,Race,Year
"4,152","3,247",78.2,"3,139",75.6,107,3.3,,Hispanic or Latino ethnicity,2017
"1,728","1,414",81.8,"1,386",80.2,29,2,,Hispanic or Latino ethnicity,2017
"22,250","10,278",46.2,"9,701",43.6,576,5.6,,,2018
"62,592","36,010",57.5,"34,550",55.2,"1,461",4.1,,,2018
"57,405","37,585",65.5,"36,338",63.3,"1,248",3.3,,,2018
"34,880","21,937",62.9,"21,128",60.6,808,3.7,,,2018
"22,525","15,649",69.5,"15,209",67.5,440,2.8,,,2018
"77,540","57,217",73.8,"55,995",72.2,"1,222",2.1,,,2018
"48,798","35,824",73.4,"35,026",71.8,799,2.2,,,2018
"28,742","21,393",74.4,"20,970",73,423,2,,,2018
"11,110","6,537",58.8,"6,201",55.8,336,5.1,Men,,2018
"31,216","21,145",67.7,"20,294",65,850,4,Men,,2018
"26,508","19,050",71.9,"18,460",69.6,590,3.1,Men,,2018
"16,679","11,667",70,"11,279",67.6,388,3.3,Men,,2018
"9,829","7,383",75.1,"7,182",73.1,202,2.7,Men,,2018
"36,711","28,670",78.1,"28,066",76.5,604,2.1,Men,,2018
"23,098","18,206",78.8,"17,803",77.1,403,2.2,Men,,2018
"13,613","10,464",76.9,"10,263",75.4,201,1.9,Men,,2018
"11,140","3,741",33.6,"3,501",31.4,240,6.4,Woman,,2018
"31,375","14,866",47.4,"14,256",45.4,610,4.1,Woman,,2018
"30,897","18,535",60,"17,877",57.9,658,3.5,Woman,,2018
"18,201","10,269",56.4,"9,850",54.1,420,4.1,Woman,,2018
"12,696","8,266",65.1,"8,028",63.2,238,2.9,Woman,,2018
"40,829","28,548",69.9,"27,929",68.4,619,2.2,Woman,,2018
"25,700","17,619",68.6,"17,223",67,396,2.2,Woman,,2018
"15,129","10,929",72.2,"10,706",70.8,223,2,Woman,,2018
"16,900","8,126",48.1,"7,713",45.6,413,5.1,,White,2018
"49,050","27,859",56.8,"26,870",54.8,989,3.5,,White,2018
"45,277","29,201",64.5,"28,348",62.6,853,2.9,,White,2018
"27,256","16,818",61.7,"16,281",59.7,537,3.2,,White,2018
"18,021","12,383",68.7,"12,067",67,316,2.5,,White,2018
"61,121","44,669",73.1,"43,772",71.6,897,2,,White,2018
"38,744","28,302",73,"27,708",71.5,594,2.1,,White,2018
"22,377","16,367",73.1,"16,064",71.8,303,1.9,,White,2018
"3,139","1,126",35.9,"1,009",32.1,117,10.4,,Black or African American,2018
"8,927","5,343",59.8,"4,986",55.8,357,6.7,,Black or African American,2018
"8,012","5,558",69.4,"5,271",65.8,287,5.2,,Black or African American,2018
"5,174","3,479",67.2,"3,276",63.3,203,5.8,,Black or African American,2018
"2,838","2,079",73.2,"1,994",70.3,84,4.1,,Black or African American,2018
"7,011","5,451",77.7,"5,291",75.5,161,2.9,,Black or African American,2018
"4,522","3,504",77.5,"3,395",75.1,109,3.1,,Black or African American,2018
"2,490","1,947",78.2,"1,895",76.1,52,2.7,,Black or African American,2018
"1,218",493,40.5,479,39.3,14,2.9,,Asian,2018
"2,549","1,504",59,"1,468",57.6,36,2.4,,Asian,2018
"2,085","1,412",67.7,"1,373",65.9,39,2.8,,Asian,2018
"1,171",770,65.8,752,64.2,19,2.5,,Asian,2018
914,641,70.2,621,68,20,3.1,,Asian,2018
"7,814","5,827",74.6,"5,687",72.8,139,2.4,,Asian,2018
"4,455","3,176",71.3,"3,099",69.6,77,2.4,,Asian,2018
"3,359","2,651",78.9,"2,588",77.1,62,2.3,,Asian,2018
"9,737","5,753",59.1,"5,488",56.4,265,4.6,,Hispanic or Latino ethnicity,2018
"10,637","7,439",69.9,"7,145",67.2,293,3.9,,Hispanic or Latino ethnicity,2018
"7,480","5,554",74.2,"5,354",71.6,200,3.6,,Hispanic or Latino ethnicity,2018
"4,734","3,469",73.3,"3,341",70.6,128,3.7,,Hispanic or Latino ethnicity,2018
"2,745","2,085",75.9,"2,012",73.3,72,3.5,,Hispanic or Latino ethnicity,2018
"6,198","4,911",79.2,"4,770",77,141,2.9,,Hispanic or Latino ethnicity,2018
"4,335","3,417",78.8,"3,312",76.4,105,3.1,,Hispanic or Latino ethnicity,2018
"1,863","1,494",80.2,"1,459",78.3,36,2.4,,Hispanic or Latino ethnicity,2018
"21,627","9,976",46.1,"9,441",43.7,535,5.4,,,2019
"62,460","36,162",57.9,"34,837",55.8,"1,324",3.7,,,2019
"57,513","37,420",65.1,"36,282",63.1,"1,138",3,,,2019
"34,711","21,592",62.2,"20,882",60.2,709,3.3,,,2019
"22,802","15,829",69.4,"15,400",67.5,429,2.7,,,2019
"79,827","58,889",73.8,"57,655",72.2,"1,234",2.1,,,2019
"50,049","36,672",73.3,"35,850",71.6,822,2.2,,,2019
"29,778","22,217",74.6,"21,805",73.2,412,1.9,,,2019
"10,832","6,356",58.7,"6,047",55.8,309,4.9,Men,,2019
"31,429","21,277",67.7,"20,512",65.3,765,3.6,Men,,2019
"26,579","19,100",71.9,"18,566",69.9,533,2.8,Men,,2019
"16,557","11,503",69.5,"11,161",67.4,342,3,Men,,2019
"10,022","7,597",75.8,"7,406",73.9,191,2.5,Men,,2019
"37,538","29,214",77.8,"28,605",76.2,609,2.1,Men,,2019
"23,646","18,567",78.5,"18,151",76.8,416,2.2,Men,,2019
"13,892","10,646",76.6,"10,454",75.2,193,1.8,Men,,2019
"10,795","3,619",33.5,"3,394",31.4,226,6.2,Woman,,2019
"31,030","14,884",48,"14,325",46.2,559,3.8,Woman,,2019
"30,934","18,320",59.2,"17,716",57.3,605,3.3,Woman,,2019
"18,154","10,089",55.6,"9,722",53.6,367,3.6,Woman,,2019
"12,780","8,232",64.4,"7,994",62.6,237,2.9,Woman,,2019
"42,290","29,675",70.2,"29,051",68.7,625,2.1,Woman,,2019
"26,404","18,104",68.6,"17,699",67,405,2.2,Woman,,2019
"15,886","11,571",72.8,"11,352",71.5,219,1.9,Woman,,2019
"16,426","7,906",48.1,"7,519",45.8,387,4.9,,White,2019
"48,922","28,081",57.4,"27,183",55.6,898,3.2,,White,2019
"45,237","28,974",64,"28,182",62.3,792,2.7,,White,2019
"27,043","16,474",60.9,"15,992",59.1,483,2.9,,White,2019
"18,194","12,500",68.7,"12,190",67,310,2.5,,White,2019
"62,569","45,649",73,"44,752",71.5,897,2,,White,2019
"39,511","28,742",72.7,"28,139",71.2,603,2.1,,White,2019
"23,057","16,907",73.3,"16,613",72.1,294,1.7,,White,2019
"3,062","1,142",37.3,"1,029",33.6,113,9.9,,Black or African American,2019
"9,055","5,337",58.9,"5,007",55.3,330,6.2,,Black or African American,2019
"8,053","5,559",69,"5,315",66,243,4.4,,Black or African American,2019
"5,167","3,438",66.5,"3,275",63.4,163,4.7,,Black or African American,2019
"2,885","2,121",73.5,"2,041",70.7,80,3.8,,Black or African American,2019
"7,300","5,667",77.6,"5,506",75.4,161,2.8,,Black or African American,2019
"4,648","3,600",77.4,"3,488",75,112,3.1,,Black or African American,2019
"2,652","2,067",77.9,"2,019",76.1,48,2.3,,Black or African American,2019
"1,255",483,38.4,468,37.3,15,3,,Asian,2019
"2,421","1,411",58.3,"1,384",57.2,27,1.9,,Asian,2019
"2,101","1,424",67.8,"1,387",66,37,2.6,,Asian,2019
"1,146",754,65.8,734,64.1,20,2.7,,Asian,2019
956,670,70.1,653,68.3,17,2.5,,Asian,2019
"8,243","6,202",75.2,"6,059",73.5,142,2.3,,Asian,2019
"4,722","3,391",71.8,"3,306",70,85,2.5,,Asian,2019
"3,521","2,811",79.8,"2,753",78.2,58,2,,Asian,2019
"9,651","5,660",58.6,"5,411",56.1,248,4.4,,Hispanic or Latino ethnicity,2019
"10,838","7,639",70.5,"7,394",68.2,245,3.2,,Hispanic or Latino ethnicity,2019
"7,576","5,700",75.2,"5,509",72.7,191,3.4,,Hispanic or Latino ethnicity,2019
"4,754","3,531",74.3,"3,411",71.8,120,3.4,,Hispanic or Latino ethnicity,2019
"2,822","2,169",76.8,"2,097",74.3,71,3.3,,Hispanic or Latino ethnicity,2019
"6,692","5,299",79.2,"5,164",77.2,135,2.6,,Hispanic or Latino ethnicity,2019
"4,630","3,644",78.7,"3,543",76.5,101,2.8,,Hispanic or Latino ethnicity,2019
"2,062","1,655",80.3,"1,621",78.6,34,2,,Hispanic or Latino ethnicity,2019
"19,900","8,930",44.9,"7,888",39.6,"1,041",11.7,,,2020
"62,121","34,741",55.9,"31,606",50.9,"3,135",9,,,2020
"57,327","36,401",63.5,"33,570",58.6,"2,831",7.8,,,2020
"34,076","20,766",60.9,"19,037",55.9,"1,728",8.3,,,2020
"23,251","15,636",67.2,"14,532",62.5,"1,103",7.1,,,2020
"83,495","60,463",72.4,"57,538",68.9,"2,925",4.8,,,2020
"51,985","37,340",71.8,"35,286",67.9,"2,054",5.5,,,2020
"31,510","23,123",73.4,"22,252",70.6,871,3.8,,,2020
"10,112","5,737",56.7,"5,130",50.7,606,10.6,Men,,2020
"31,393","20,686",65.9,"18,910",60.2,"1,776",8.6,Men,,2020
"26,625","18,626",70,"17,264",64.8,"1,362",7.3,Men,,2020
"16,489","11,162",67.7,"10,297",62.4,865,7.7,Men,,2020
"10,136","7,464",73.6,"6,966",68.7,497,6.7,Men,,2020
"38,971","29,880",76.7,"28,522",73.2,"1,357",4.5,Men,,2020
"24,270","18,767",77.3,"17,827",73.5,939,5,Men,,2020
"14,701","11,113",75.6,"10,695",72.7,418,3.8,Men,,2020
"9,789","3,193",32.6,"2,758",28.2,435,13.6,Woman,,2020
"30,728","14,055",45.7,"12,696",41.3,"1,359",9.7,Woman,,2020
"30,703","17,776",57.9,"16,306",53.1,"1,469",8.3,Woman,,2020
"17,587","9,604",54.6,"8,740",49.7,864,9,Woman,,2020
"13,115","8,172",62.3,"7,566",57.7,606,7.4,Woman,,2020
"44,524","30,584",68.7,"29,016",65.2,"1,568",5.1,Woman,,2020
"27,715","18,573",67,"17,458",63,"1,115",6,Woman,,2020
"16,809","12,010",71.5,"11,557",68.8,453,3.8,Woman,,2020
"15,059","7,047",46.8,"6,304",41.9,743,10.5,,White,2020
"48,448","26,970",55.7,"24,822",51.2,"2,148",8,,White,2020
"45,143","28,343",62.8,"26,335",58.3,"2,007",7.1,,White,2020
"26,441","15,844",59.9,"14,648",55.4,"1,196",7.5,,White,2020
"18,702","12,499",66.8,"11,688",62.5,812,6.5,,White,2020
"65,171","46,653",71.6,"44,522",68.3,"2,130",4.6,,White,2020
"40,981","29,271",71.4,"27,757",67.7,"1,514",5.2,,White,2020
"24,190","17,382",71.9,"16,765",69.3,616,3.5,,White,2020
"2,942","1,050",35.7,881,30,169,16.1,,Black or African American,2020
"9,124","5,133",56.3,"4,466",48.9,666,13,,Black or African American,2020
"8,013","5,322",66.4,"4,781",59.7,540,10.2,,Black or African American,2020
"5,127","3,297",64.3,"2,938",57.3,358,10.9,,Black or African American,2020
"2,885","2,025",70.2,"1,843",63.9,182,9,,Black or African American,2020
"7,768","5,948",76.6,"5,597",72.1,351,5.9,,Black or African American,2020
"4,883","3,714",76.1,"3,466",71,247,6.7,,Black or African American,2020
"2,885","2,235",77.4,"2,131",73.9,104,4.6,,Black or African American,2020
"1,083",448,41.4,374,34.5,75,16.6,,Asian,2020
"2,511","1,378",54.9,"1,189",47.3,189,13.7,,Asian,2020
"1,966","1,249",63.5,"1,120",57,129,10.3,,Asian,2020
"1,094",680,62.2,607,55.5,73,10.7,,Asian,2020
873,569,65.2,513,58.8,56,9.8,,Asian,2020
"8,645","6,353",73.5,"6,000",69.4,353,5.6,,Asian,2020
"4,824","3,338",69.2,"3,116",64.6,222,6.7,,Asian,2020
"3,822","3,015",78.9,"2,884",75.5,131,4.3,,Asian,2020
"8,966","5,107",57,"4,535",50.6,572,11.2,,Hispanic or Latino ethnicity,2020
"11,018","7,477",67.9,"6,724",61,753,10.1,,Hispanic or Latino ethnicity,2020
"7,990","5,857",73.3,"5,334",66.8,523,8.9,,Hispanic or Latino ethnicity,2020
"4,918","3,553",72.2,"3,231",65.7,321,9,,Hispanic or Latino ethnicity,2020
"3,072","2,304",75,"2,103",68.5,201,8.7,,Hispanic or Latino ethnicity,2020
"7,401","5,808",78.5,"5,427",73.3,381,6.6,,Hispanic or Latino ethnicity,2020
"5,061","3,925",77.6,"3,634",71.8,292,7.4,,Hispanic or Latino ethnicity,2020
"2,340","1,883",80.4,"1,794",76.6,89,4.7,,Hispanic or Latino ethnicity,2020
"20,003","9,007",45,"8,263",41.3,744,8.3,,,2021
"63,234","34,994",55.3,"32,821",51.9,"2,173",6.2,,,2021
"56,654","35,688",63,"33,855",59.8,"1,833",5.1,,,2021
"33,550","20,370",60.7,"19,247",57.4,"1,123",5.5,,,2021
"23,104","15,318",66.3,"14,608",63.2,710,4.6,,,2021
"84,292","60,827",72.2,"58,966",70,"1,861",3.1,,,2021
"52,378","37,599",71.8,"36,289",69.3,"1,310",3.5,,,2021
"31,914","23,229",72.8,"22,677",71.1,551,2.4,,,2021
"10,318","5,853",56.7,"5,409",52.4,444,7.6,Men,,2021
"32,029","20,936",65.4,"19,650",61.3,"1,287",6.1,Men,,2021
"26,132","18,185",69.6,"17,255",66,931,5.1,Men,,2021
"16,045","10,842",67.6,"10,258",63.9,584,5.4,Men,,2021
"10,087","7,343",72.8,"6,996",69.4,347,4.7,Men,,2021
"39,309","29,965",76.2,"29,062",73.9,902,3,Men,,2021
"24,600","18,954",77,"18,302",74.4,652,3.4,Men,,2021
"14,709","11,010",74.9,"10,760",73.2,250,2.3,Men,,2021
"9,685","3,154",32.6,"2,855",29.5,300,9.5,Woman,,2021
"31,204","14,058",45.1,"13,172",42.2,886,6.3,Woman,,2021
"30,522","17,502",57.3,"16,600",54.4,902,5.2,Woman,,2021
"17,505","9,528",54.4,"8,988",51.3,539,5.7,Woman,,2021
"13,018","7,975",61.3,"7,612",58.5,363,4.5,Woman,,2021
"44,983","30,863",68.6,"29,904",66.5,959,3.1,Woman,,2021
"27,778","18,645",67.1,"17,987",64.8,658,3.5,Woman,,2021
"17,205","12,218",71,"11,917",69.3,301,2.5,Woman,,2021
"15,282","7,203",47.1,"6,681",43.7,522,7.3,,White,2021
"49,015","26,831",54.7,"25,408",51.8,"1,423",5.3,,White,2021
"44,550","27,636",62,"26,375",59.2,"1,260",4.6,,White,2021
"26,028","15,485",59.5,"14,730",56.6,755,4.9,,White,2021
"18,522","12,151",65.6,"11,646",62.9,505,4.2,,White,2021
"65,692","46,681",71.1,"45,378",69.1,"1,303",2.8,,White,2021
"41,393","29,458",71.2,"28,531",68.9,927,3.1,,White,2021
"24,299","17,224",70.9,"16,848",69.3,376,2.2,,White,2021
"2,780",942,33.9,799,28.8,143,15.2,,Black or African American,2021
"9,499","5,436",57.2,"4,896",51.5,540,9.9,,Black or African American,2021
"7,986","5,302",66.4,"4,899",61.4,403,7.6,,Black or African American,2021
"5,106","3,304",64.7,"3,041",59.6,263,8,,Black or African American,2021
"2,880","1,998",69.4,"1,859",64.5,139,7,,Black or African American,2021
"7,895","6,042",76.5,"5,779",73.2,263,4.4,,Black or African American,2021
"4,959","3,767",76,"3,583",72.2,184,4.9,,Black or African American,2021
"2,937","2,276",77.5,"2,197",74.8,79,3.5,,Black or African American,2021
"1,061",424,40,395,37.2,30,7,,Asian,2021
"2,625","1,421",54.1,"1,306",49.8,115,8.1,,Asian,2021
"1,991","1,298",65.2,"1,223",61.4,75,5.8,,Asian,2021
"1,108",718,64.8,674,60.8,44,6.1,,Asian,2021
883,580,65.7,549,62.2,31,5.4,,Asian,2021
"8,664","6,499",75,"6,277",72.4,221,3.4,,Asian,2021
"4,675","3,319",71,"3,176",67.9,143,4.3,,Asian,2021
